title,lyrics
A Hard Day’s Night [Live at the BBC Disk 2]," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!   So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeh  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alrightEmbed"
A Hard Day’s Night [Live at the Hollywood Bowl]," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!  So why on earth should I moan 'Cause when I get you alone You know I feel okay  When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeh  It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alrightEmbed"
Ain’t Nothing Shakin’ (But The Leaves)," I found it out, what love is all about And every day, it sure lets out I see my baby, I get weak in the knees 'Cause nothin's shakin' but the leaves on the tree My papi told me there'd be times like these There's nothin' shakin' but the leaves on the trees  We meet the gang and go to rockin' Joe's The cats are something on the heels and toes I grab my baby, tried to give her a squeeze There's nothin' shakin' but the leaves on the trees Well why must she be such a dog-gone tease? There's nothin' shakin' but the leaves on the trees  She's got a way that makes me act like a fool Spent my money, then she plays me cool I'm beggin' for her kisses on a bended knee Oh, won't you give me some-a lovin', baby Please, please, please  Though I keep trying hard to make her mine One day the wind will blow, the sun will shine Till that time, she puts my heart at ease There's nothin' shakin' but the leaves on the trees She locked my heart and threw away the keys There's nothin' shakin' but the leaves on the trees, yeah  She's got a way that makes me act like a fool Spent my money, then she plays me cool I'm beggin' for her kisses on a bended knee Oh, won't you give me some-a lovin', baby Please, please, please  Though I keep trying hard to make her mine One day the wind will blow, the sun will shine Till that time, she puts my heart at ease There's nothin' shakin' but the leaves on the trees She locked my heart and threw away the keys There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the trees There's nothin' shakin' but the leaves on the treesEmbed"
Ain’t She Sweet (John Lennon vocal),Edit 
A Little Rhyme,"  Now, for the final number, John's got a card in his hand with a little rhyme on it. What is it?  It's from the form up a third at Hemel Hempstead  Oh!  It says, ""Dear George, John, Ringo, Paul, here's hoping that you'll please us all A beauty song and swinging voice, we leave it up to you, the choice We think you're fab and really cool, so brighten up our lads at school"" Dig this, for here's Paul, whistling ""Clarabella""Embed"
"A Little Rhyme (Live at the BBC for “Pop Go The Beatles” / 16th July, 1963)","  Now, for the final number, John's got a card in his hand with a little rhyme on it. What is it?  It's from the form up a third at Hemel Hempstead  Oh!  It says, ""Dear George, John, Ringo, Paul, here's hoping that you'll please us all A beauty song and swinging voice, we leave it up to you, the choice We think you're fab and really cool, so brighten up our lads at school"" Dig this, for here's Paul, whistling ""Clarabella""Embed"
All I’ve Got to Do," Whenever I want you around, yeah All I got to do Is call you on the phone And you'll come running home Yeah, that's all I got to do  And when I, I want to kiss you, yeah All I got to do Is whisper in your ear The words you long to hear And I'll be kissin' you  And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me  And when I, I want to kiss you, yeah All I got to do Is call you on the phone And you'll come runnin' home Yeah, that's all I got to do And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just got to call on me, yeah You just got to call on me6Embed"
All My Loving," Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you  I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home everyday And I'll send all my loving to you  All my loving I will send to you All my loving, darling, I'll be true  Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you All my loving I will send to you All my loving, darling, I'll be true All my loving, all my loving, ooh All my loving I will send to you12Embed"
All My Loving [Live at the BBC Disk 2]," Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you  I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home everyday And I'll send all my loving to you  All my loving I will send to you All my loving, darling I'll be true  Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you  All my loving I will send to you All my loving, darling I'll be true All my loving, all my loving ooh All my loving I will send to youEmbed"
All My Loving [Live at the Hollywood Bowl]," Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you  I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home everyday And I'll send all my loving to you  All my loving I will send to you All my loving, darling I'll be true  Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home everyday And I'll send all my loving to you All my loving I will send to you All my loving, darling I'll be true All my loving, all my loving ooh All my loving I will send to youEmbed"
All Things Must Pass (Demo), Sunrise doesn't last all morning A cloudburst doesn't last all day Seems my love is up And has left you with no warning But it's not always going to be this grey  All things must pass All things must pass away  Sunset doesn't last all evening A mind can blow those clouds away After all this my love is up And must be leaving It has not always been this grey  All things must pass All things must pass away  All things must pass None of life's strings can last So I must be on my way And face another day Now the darkness only stays at nighttime In the morning it will fade away Daylight is good At arriving at the right time It's not always going to be this grey  All things must pass All things must pass away All things must pass All things must pass awayEmbed
All Together Now," One, two, three, four Can I have a little more? Five, six, seven, eight, nine, ten, I love you  A, B, C, D Can I bring my friend to tea? E, F, G, H, I, J, I love you  (Bom bom bom bompa bom) Sail the ship (Bompa bom) Chop the tree (Bompa bom) Skip the rope (Bompa bom) Look at me  (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now  Black, white, green, red Can I take my friend to bed? Pink, brown, yellow, orange and blue, I love you (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now  (Bom bom bom bompa bom) Sail the ship (Bompa bom) Chop the tree (Bompa bom) Skip the rope (Bompa bom) Look at me  (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now1Embed"
All Together on the Wireless Machine,When I was sitting on my piano one day A magical thought came my way To write a number for the BBC Kenny Everett McCartney All together on the wireless machine Kenny Everett McCartney All together on the wireless machine Kenny Everett McCartney All together on the wireless machineEmbed
All You Need Is Love," Love, love, love Love, love, love Love, love, love  There's nothing you can do that can't be done Nothing you can sing that can't be sung Nothing you can say, but you can learn how to play the game It's easy  Nothing you can make that can't be made No one you can save that can't be saved Nothing you can do, but you can learn how to be you in time It's easy  All you need is love All you need is love All you need is love, love Love is all you need  Love, love, love Love, love, love Love, love, love All you need is love All you need is love All you need is love, love Love is all you need  There's nothing you can know that isn't known Nothing you can see that isn't shown There's nowhere you can be that isn't where you're meant to be It's easy  All you need is love All you need is love All you need is love, love Love is all you need  All you need is love (All together now) All you need is love (Everybody) All you need is love, love Love is all you need (Yesterday) (Oh yeah) (She loves you, yeah, yeah, yeah) (She loves you, yeah, yeah, yeah) (Oh, yesterday)17Embed"
And Here We Are Again,"And Here we are again with another half hour of the 1963 sound with The Beatles, That's John Lennon, Paul McCartney, George Harrison and Ringo Starr and who are you my man, I thought you’d never ask. My name's Rodney Burke thank you very much, that's your fault!Embed"
And I Love Her, I give her all my love That's all I do And if you saw my love You'd love her too I love her  She gives me everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her29Embed
And I love her traduzione italiana,Le do tutto il mio amore È tutto ciò che faccio E se vedessi  amore L'ameresti anche tu Io la amo Lei mi dà tutto E teneramente Il bacio che la mia amata dà Lo dà a me E la amo Un amore come il nostro Non potrebbe mai morire Fintantoché io Ti ho vicina a me Luminose sono le stelle che brillano Oscure nel cielo So che questo mio amore Non morirà mai E io la amo Luminose sono le stelle che brillano Oscure nеl cielo So che questo mio amorе Non morirà mai E io la amoEmbed
And Your Bird Can Sing," You tell me that you've got everything you want And your bird can sing But you don't get me You don't get me  You say you've seen seven wonders And your bird is green But you can't see me You can't see me  When your prized possessions Start to weigh you down Look in my direction I'll be 'round, I'll be 'round   When your bird is broken Will it bring you down? You may be awoken I'll be 'round, I'll be 'round You tell me that you've heard every sound there is And your bird can swing But you can't hear me You can't hear me7Embed"
And Your Bird Can Sing (Take 2),"(One, two, three, four)  You tell me that you've got everything you want (You tell me that—thing you want) And your bird can sing But you don't get me You don't get me  You say you've seen seven wonders  (Woo!) And your bird is green But you can't see me  (—can't see me) You can't see me  (You can't see m—) (Ha ha ha ha!) (George!)  When your prized possessions  (When your prized possessions) Start to weigh you down Look in my direction I'll be 'round, I'll be 'round You tell me that you've heard every sound there is And your bird can swing But you can't hear me You can't hear m— (Woo hoo hoo!)   When your bike is broken Will it bring you down? You may be awoken (You may—BE awoken) I'll be 'round, I'll be 'round (I'LL be 'round—Ha ha ha ha ha ha ha!)  You tell me that you've got everything you want (You tell me that you've g— everything you want) And your bird can sing But you don't get me You don't get me  (Whistling) Okay. Okay, okay, everybody Okay, okay, okay. Okay! Wait... That was very well d—Embed"
Anna (Go to Him)," Anna You come and ask me, girl To set you free, girl You say he loves you more than me, so I will set you free Go with him (Anna) Go with him (Anna)  Anna Girl, before you go now I want you to know, now That I still love you so, but if he loves you more Go with him  All of my life I've been searching for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leaves me sad What am I, what am I supposed to do? Oh-oh-oh-oh-oh-oh  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him All of my life I've been searching for a girl to love me like I love you But let me tell you now But every girl I've ever had, breaks my heart and leave me sad What am I, what am I supposed to do? Oh-oh-oh-oh-oh-oh  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him (Anna)  Go with him (Anna) You can go with him, girl (Anna) Go with him7Embed"
Anna (Go To Him) (Live)," Anna You come and ask me, girl To set you free, girl You say he loves you more than me So I will set you free Go with him Go with him  Anna Girl, before you go now I want you to know, now That I still love you so But if he loves you more Go with him  All of my life I've been searching for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leaves me sad What am I, what am I supposed to do?  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him All of my life I've been searching for a girl To love me like I love you But let me tell you now But every girl I've ever had Breaks my heart and leave me sad What am I, what am I supposed to do?  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him  Go with him You can go with him, girl Go with himEmbed"
Another Beatles Christmas Record,"(All): (Singing) Jingle bells... (P): Hello, everybody, this is Paul, and I'd just like to thank you all for buying our records during the past year. We know you've been buying 'em because the sales have been very good, you see. Don't know where we'd be without you, really though (J): In the army, perhaps (P): Oh, we hope you've enjoyed listening to the records as much as we've enjoyed melting them - No, no, no, that's worng. - making them. We're in No. 2 studio at the moment, at EMI, taping this little message for you (J): Yes, we are (P): We are indeed. I just thought I'd make that... This is the same studio we've used all along - since the old days of ""Love Me Do"" - many years ago it seems, doesn't it? (J): Ah, those were the days ... (P): Well, that's about all, I think. Except, to wish you all a Happy Christmas and a very New Year! Now I'll pass you over to John. John! (J): John. John speakin'. Thanks all of you who bought me book. Thank you folks for buying it. It was very handy. And there's another one out pretty soon, it says here. Hope you buy that, too. It'll be the usual rubbish but it won't cost much. You see, that's the bargain we're going to strike up. I write them in my spare time, it says here. It's been a busy year... (P): Did you write this yourself? (J): No! It's somebody's bad handwroter. It's been a busy year Beatle peadles, one way and another. But it's been a great year, too. You fans have seen to that. Page 2. Thanks a lot folks and a hap-py, ah, Christmas and a merry goo-year. Crimble maybe. And I'll hand you to George who will speak to you - now! (G): Thank you John. Thank you. Hi there! I'd like to thank all of you for going to see the film. 'spect a lot of you saw it more than once (R): I did (G): Did you? So did I. Thanks anyway. 'Cause it makes us very pleased, ya know. We had a quiet time making it. Actually, we didn't. We had a great time making it. And we're glad it turned out okay. The next one should be completely different. We start shooting it in February. This time it's gonna be in color (J): Green (G): It'll be a big laugh we hope. (Ha ha ha!) Well, we ... Big laugh, ha ha ha, yeah, it'll be a big laugh (J): Be a big laugh, you imagine? (G): And we may see all of you soon. Hope so anyway. All the best. And, happy New Year. And a Happy Christmas. And here's Ringo! (R): Thanks, Geroge. Ringo here. Well, the others have thanked you for the discs and John's book and for everything - oh, no - for enjoying the film. I'd like to thank you just for being fans. It's been a funny year, you know. One minute we're in England, next, we're away. 'spect you're wondering where we've been. Well, Beatle people, we've been to Australia and America and New (*crash*) - who's dropping that? - New Zealand and Australia... (P): And New Zealand (R): Ha ha! Or is that New Zealand? So much travelling! But you've stayed loyal, haven't you? Anyway, those airport receptions knocked us out, man, great! (J): Dig! (R): Well, that's about it from me. I'd just like to say, all the best for Christmas and happy new year. That's about it (All) (Singing): Oh, can you wash your father's shirt Can you wash it clean? Oh, can you wash your father's shirt Can you wash it clean? Oh, can you wash your father's shirt Can you wash it clean? Oo Christmas! (Happy Christmas, everybody!) Happy Christmas! Happy Christmas! Happy Christmas! Happy Christmas! Yeah! Happy Christmas! Happy Christmas! (J): Christmas! (P): Happy Christmas! (All): Happy Christmas! Happy Christmas! Chrismas! Happy Christmas!Embed"
Another Girl," For I have got another girl Another girl  You're making me say that I've got nobody but you But as from today, well, I've got somebody that's new I ain't no fool and I don't take what I don't want  For I have got another girl Another girl  She's sweeter than all the girls and I met quite a few Nobody in all the world can do what she can do And so I'm telling you, ""This time you'd better stop""  For I have got another girl Another girl  Who will love me till the end Through thick and thin She will always be my friend I don't want to say that I've been unhappy with you But, as from today, well, I've seen somebody that's new I ain't no fool and I don't take what I don't want  For I have got another girl Another girl  Who will love me till the end Through thick and thin She will always be my friend  I don't want to say that I've been unhappy with you But, as from today, well, I've seen somebody that's new I ain't no fool and I don't take what I don't want  For I have got another girl Another girl Another girl3Embed"
Any Time at All," Any time at all, any time at all Any time at all, all you've gotta do is call and I'll be there  If you need somebody to love Just look into my eyes I'll be there to make you feel right If you're feeling sorry and sad I'd really sympathize Don't you be sad, just call me tonight  Any time at all, any time at all Any time at all, all you've gotta do is call and I'll be there  If the sun has faded away I'll try to make it shine There's nothing I won't do When you need a shoulder to cry on I hope it will be mine Call me tonight, and I'll come to you  Any time at all, any time at all Any time at all, all you've gotta do is call and I'll be there Any time at all, any time at all Any time at all, all you've gotta do is call and I'll be there Any time at all, all you've gotta do is call and I'll be there2Embed"
A Picture Of You,"In the night, there are sights to be seen Stars like jewels on the crown of a Queen But the only sight I wanna view Is that wonderful picture of you On a Streetcar, or in the café All of the evening, and most of the day My mind is in a maze what can I do? I still see that picture of you It was last summer, I fell in love My heart told me what to do I saw you there on the crest of a hill An' I took a little picture of you Then you were gone, like a dream in the night With you went my heart, my love and my life I didn't know your name, what could I do? I only had a picture of you Then you were gone, like a dream in the night With you, went my heart, my love and my life I didn't know your name, what could I do? I only had a picture of you, oh yeah That wonderful picture of you I'm left with a picture of, oh yeah That wonderful picture of youEmbed"
A Shot Of Rhythm And Blues," Well, if your hands start a-clapping And your fingers start a-popping And your feet start a-moving around And if you start to swing and sway When the band starts to play A real cool way out sound And if you get to can't help it And you can't sit down You feel like you gotta move a round  You get a shot of rhythm and blues With just a little rock and roll on the side Just for good measure  Get a pair of dancing shoes Well, with your lover by your side Don't you know you're going to have a lot of pleasure?  Don't you worry about a thing if you start to dance and sing And chills coming up on you And if the rhythm finally gets you and the beat gets you too Well, here's something for you to do    Get a shot of rhythm and blues Get a pair of dancing shoes Get a shot of rhythm and blues Well, with your lover by your side Don't you know you're going to have a lot of pleasure? Embed"
"A Shot of Rhythm and Blues (Live at the BBC for “Pop Go The Beatles” / 27th August, 1963)",Edit 
Ask Me Why," I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue  Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why If I cry, it's not because I'm sad But you're the only love that I've ever had  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you  I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue Ask me why, I'll say I love you And I'm always thinking of you  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you You You3Embed"
Ask Me Why (Live)," I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue  Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why If I cry it's not because I'm sad But you're the only love that I've ever had  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you  I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue Ask me why, I'll say I love you And I'm always thinking of you  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you You YouEmbed"
Ask Me Why (Live in Germany)," I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue  Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why If I cry it's not because I'm sad But you're the only love that I've ever had  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you  I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know that I—I, I, I Should never, never, never be blue Ask me why, I'll say I love you And I'm always thinking of you  I can't believe it's happened to me I can't conceive of any more—misery  Ask me why, I'll say I love you And I'm always thinking of you You YouEmbed"
